comments,category
we want the new train between ankleshvar to vapi at 6pm in evening because after 5 to 7 pm no train available at ankleshvar for going to home We are wasting our time on platform without train Very very big problems for passangers at 6 pm Please thinking about,request new service
We were promised railway zone as part of AP reorganization act It's been 4 years not even a step was taken to fulfill the promise Please don't say that as trains will be minutes to hours late and hence railway zone will be years late #APvsBJP,train delay
we will not give an inch of rail line to their be new rail zone. pls don't make such decissions hastily. it will hurt odisha's pride n honor. pls don't cut from koraput line.,request new service
We're traveling in Train# 12542 PNR : 8423399293 The train has been delayed by more than 5 hours since its departure from JHS yet to reach LJN Kindly monitor ensure punctuality of such long distance Superfast trains,train delay
Well done,appreciation
Well Done ! Thanks for giving us assurance and trust back on Assertive AdministraAsse,appreciation
Well done Make this for other zones also,appreciation
Well done.,appreciation
went into deep trouble due to delay of train again and again by 5 hours But still arrival of train is not confirmed at all,train delay
went to buy a plateform ticket counter at Ludhiana Junction at 11 a m Person sitting on the seat neither sold ticket nor told the from where to buy suh tickets Behaivour was also very rude,poor service
west travelling exprnc in a SF train #12826 no charging point in AC coaches,poor service
WesternRly pay attention at nalasopara people's return journey it will surely reduce this bullies issue people's of nalasopara board virar trains for journey towards churchgate NALASOPARA VIRAR CHURCHGATE,security problem
Wet bedrolls supplied in kaifiyat express coach B2 PNR 2602230499 Attendant not traceable Complaint to TT and web portal But no action so far Children women everyone suffering,poor service
Wet bedrolls supplied in kaifiyat express coach B2.PNR 2602230499. Attendant not traceable. Complaint to TT and web portal. But no action so far. Children,poor service
what a bench mark if train is 2 hour late it'll be considered as FAIR we can understand the laziness level and mentality of BABUS working there,train delay
what a fast railway 15kms in 3 hrs between LKO to AMS dt 11 3 18 train 11123 no punctuality,train delay
what a joke no update about the train passengers are waiting for the train No announcement its 00:05 whilst arrival at Lucknow is 21:25 Train status website is equally hopeless May God help us,train delay
what a journey n what a horrible night i am having as train getting late more and attack of mosquitoes continue #sasaram,hygiene
What a nonsense operations of railways Train 12506 is delayed unnecessary since morning Passengers are fed up Please through it so that it reaches Rangiya by 10:15 pm Dr Ashok Pandey PNR 2824045561 Please help to avoid nuisance on the part of passengers,train delay
what a pathetic management of reserved coaches Please do visit immediately in S8 I dare you to meet me at seat 56 of you could find any space PNR 8101894271,poor service
what a pathetic situation is prevailing in indian railway at tatanagae situation which can be seen from paper cuttings of DAINIK JAGRAN JAMSHEDPUR EDITION on 26 and 27 fab 2018..pls see pic.twitter.com/lUpW8yr08I,poor service
What a service of indian railway It's festival time and people are already planned their schedule but sudden got a SMS that train is rescheduled and will be delayed by approx 3hrs It's really an advantage being AAM AADMI Kabhi b kuch b ho sakta h,train delay
What a service provide by the route controllers instead of express train 12835 hte to ypr preferences not to delay passenger. Display showing 5mins more 2 come in every after five mins,train delay
what a shameless government.... Pakistan army is attacking on border and Indian army is busy in building bridges..,request new service
what a site is showing train arrived at bhopal while we are still 10km away from station What a manipulation to show good performance,poor service
what a sorry state of affairs 12322 is getting late and late stopping stn stranded at gaya,train delay
what a worst service given by railway 3 km in 4 hours train no 110061 Pawan express,train delay
What about #puncuality and #ticket avaibility in CPR NDLS rout?? Colour does not matter for us,train delay
What about cleanliness Trains are dirty and stinking sh houses,hygiene
What about Divyang. ? Deasal Janrator Yaan. ( in garib rath there are Four Seats reserved for divyang in Jenrator Yaan,request new service
What about new trains where connectivity is not there After Lalu introduction of new trains has stopped Mamta took to Bengal Lalu to Bihar None from UP so waiting for rail connectivity,request new service
What about swindlers con artists in organisation ? Pl put heavy hand on divisional HQ arbitrary powers in the name decentralistion Mere instructions are not effective in changing attitude,security problem
What about the coach cleaning men?,hygiene
What about the cook?,poor service
What about the Gandgi in the Toilets of SHRAMHEEVI EXPRESS and ALA HAZRAT EXPRESS ? Is is not possible to have clean toilets in these trains?,hygiene
What about the train delay?? Do you have any plan action for the northern railway??,train delay
What about trackman safety?,security problem
What about train no 05045 ?? gkp anvt spc delayed more then 3hr so please,train delay
What an utter waste of time Train 15063 As usual late more than 3 hours Railways have no sense of urgency No one cares about someones time I just ended up catching my connecting train by 5 mins even though I booked keeping 3 hours gap Thnku,train delay
What an utter waste of time Train 15063 As usual late more than 3 hours Railways have no sense of urgency No one cares about someones time I just ended up catching my connecting train by 5 mins even though I booked keeping 3 hours gap Thnku,train delay
What are the Procedure and charges to take pet in train ?,request new service
What disgusting behaviour done by Railway TC on Janshatabdi express from Bilaspur to Raipur today morning from station Bhara para,staff complain
What do we commuters pay for? Non working fans in a crowded train is a disappointment Taxes and ticket money feels like waste of money If we pay for it we demand good service At least maintain your trains for basic functionality Someday someone won't survive it,poor service
What does it mean ? More bogies more speed ? Where u getting it from,request new service
what happen to train no 14017 getting late by late it's running like bullokcart,train delay
